Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,18,asymmetric,0.9099999999999999,0.4343383828303439
100% Corpus,18,asymmetric,symmetric,0.3746684190371332
100% Corpus,19,0.01,0.01,0.3892679382132377
100% Corpus,19,0.01,0.31,0.39774618489328956
100% Corpus,19,0.01,0.61,0.43032815716607226
100% Corpus,19,0.01,0.9099999999999999,0.4302535850125648
100% Corpus,19,0.01,symmetric,0.3879502385418566
100% Corpus,19,0.31,0.01,0.42052316632298603
100% Corpus,19,0.31,0.31,0.4486097029770599
100% Corpus,19,0.31,0.61,0.47173378603024974
100% Corpus,19,0.31,0.9099999999999999,0.46436352236181067
100% Corpus,19,0.31,symmetric,0.39791943063283575
100% Corpus,19,0.61,0.01,0.4385756591774153
100% Corpus,19,0.61,0.31,0.4256416944633514
100% Corpus,19,0.61,0.61,0.4081043027039346
100% Corpus,19,0.61,0.9099999999999999,0.41866222109697177
100% Corpus,19,0.61,symmetric,0.43916917113399423
100% Corpus,19,0.9099999999999999,0.01,0.4154010359571651
100% Corpus,19,0.9099999999999999,0.31,0.4125195610701753
100% Corpus,19,0.9099999999999999,0.61,0.4140594760460993
100% Corpus,19,0.9099999999999999,0.9099999999999999,0.4206492801153394
100% Corpus,19,0.9099999999999999,symmetric,0.4128829284002247
100% Corpus,19,symmetric,0.01,0.3876319120778238
100% Corpus,19,symmetric,0.31,0.39087331333315306
100% Corpus,19,symmetric,0.61,0.4379235408733893
100% Corpus,19,symmetric,0.9099999999999999,0.4232919269535015
100% Corpus,19,symmetric,symmetric,0.3950493046839762
100% Corpus,19,asymmetric,0.01,0.4053227562545848
100% Corpus,19,asymmetric,0.31,0.39547614751533766
100% Corpus,19,asymmetric,0.61,0.4131561809926559
100% Corpus,19,asymmetric,0.9099999999999999,0.43126997089934715
100% Corpus,19,asymmetric,symmetric,0.3800556402058599
